"state_name","species_code","common_name","scientific_name","trend_period","season_code","state_trend_median","state_trend_lowerci","state_trend_upperci","rangewide_trend_median","rangewide_trend_lowerci","rangewide_trend_upperci","breeding_habitat_primary","breeding_habitat_secondary"
"Alabama","purmar","Purple Martin","Progne subis","2012-2022","breeding",-6.62,-12.4,-0.0361,0.506,-4.42,4.15,"Open Country Aerial:  Habitat Mosaic","Wetlands Aerial:  Lakes and Rivers"
"Alabama","rebmer","Red-breasted Merganser","Mergus serrator","2012-2022","nonbreeding",-16.2,-22.7,-8.5,-14.6,-30.1,3.55,"Wetlands:  Tundra","Wetlands:  Boreal"
"Alabama","rebwoo","Red-bellied Woodpecker","Melanerpes carolinus","2012-2022","year_round",5.32,1.28,11.3,15.7,13.5,18.3,"Forests:  Temperate Eastern",NA
"Alabama","recwoo","Red-cockaded Woodpecker","Dryobates borealis","2012-2022","year_round",-7.25,-14.2,3.41,-13.3,-21.6,-8.99,"Forests:  Temperate Eastern",NA
"Alabama","redegr","Reddish Egret","Egretta rufescens","2012-2022","year_round",2.27,-13.3,20.9,2.19,-7.88,11.6,"Coasts:  Mangroves","Coasts:  Beach and Estuary"
"Alabama","redhea","Redhead","Aythya americana","2012-2022","breeding",-22.6,-33.8,-6.31,0.333,-8.05,7.41,"Wetlands:  Seasonally Wet Grasslands","Wetlands:  Freshwater Marsh"
"Alabama","reevir1","Red-eyed Vireo","Vireo olivaceus","2012-2022","breeding",7.45,3.28,12,12.2,8.8,14,"Forests:  Temperate Generalist",NA
"Alabama","rehwoo","Red-headed Woodpecker","Melanerpes erythrocephalus","2012-2022","breeding",-2.69,-11.1,5.49,22,16.6,30.4,"Forests:  Temperate Eastern",NA
"Alabama","reshaw","Red-shouldered Hawk","Buteo lineatus","2012-2022","breeding",40,26.6,59.5,34,29.8,39.7,"Forests:  Temperate Eastern","Forests:  Temperate Western"
"Alabama","rethaw","Red-tailed Hawk","Buteo jamaicensis","2012-2022","breeding",-19.4,-30.6,-10.1,-6.03,-9.73,-3.15,"Open Country:  Habitat Mosaic",NA
"Alabama","rewbla","Red-winged Blackbird","Agelaius phoeniceus","2012-2022","breeding",-29.7,-32.4,-25.8,-6.22,-9,-3.04,"Open Country:  Habitat Mosaic","Wetlands:  Freshwater Marsh"
"Alabama","ribgul","Ring-billed Gull","Larus delawarensis","2012-2022","nonbreeding",-34.4,-37.8,-31,-30.6,-34.4,-26.4,"Wetlands:  Generalist",NA
"Alabama","rinduc","Ring-necked Duck","Aythya collaris","2012-2022","nonbreeding",-29.4,-35.1,-21.5,-10.9,-16.1,-6.83,"Wetlands:  Boreal",NA
"Alabama","rocpig","Rock Pigeon","Columba livia","2012-2022","year_round",-35.3,-39.7,-30.9,-19.9,-24.1,-13.5,"Open Country:  Developed/Disturbed",NA
"Alabama","rosspo1","Roseate Spoonbill","Platalea ajaja","2012-2022","breeding",-9.99,-17.9,0.402,-12.1,-16.3,-7.2,"Coasts:  Mangroves","Wetlands:  Freshwater Marsh"
"Alabama","royter1","Royal Tern","Thalasseus maximus","2012-2022","breeding",-5.51,-10.1,4.32,7.87,1.74,15.6,"Coasts:  Beach and Estuary","Coasts:  Marine Waters"
"Alabama","rthhum","Ruby-throated Hummingbird","Archilochus colubris","2012-2022","breeding",12.3,8.13,21.9,18,13.1,20.6,"Forests:  Temperate Eastern",NA
"Alabama","rudduc","Ruddy Duck","Oxyura jamaicensis","2012-2022","breeding",-24.7,-45.8,3,-8.59,-12.3,-4.83,"Wetlands:  Seasonally Wet Grasslands","Wetlands:  Freshwater Marsh"
"Alabama","rudtur","Ruddy Turnstone","Arenaria interpres","2012-2022","nonbreeding",-23,-27.8,-13.9,-10.8,-16.3,-4.09,"Coasts:  Tundra","Wetlands:  Tundra"
"Alabama","rusbla","Rusty Blackbird","Euphagus carolinus","2012-2022","nonbreeding",-45.5,-50.7,-40.2,-16.2,-21.5,-9.31,"Wetlands:  Boreal",NA
"Alabama","sancra","Sandhill Crane","Antigone canadensis","2012-2022","nonbreeding",-23.9,-32.8,-17.7,-1.05,-8.18,7.34,"Wetlands:  Generalist",NA
"Alabama","sander","Sanderling","Calidris alba","2012-2022","nonbreeding",-1.42,-6.73,4.99,-0.127,-5.17,5.42,"Tundra:  Arctic","Wetlands:  Tundra"
"Alabama","santer1","Sandwich Tern","Thalasseus sandvicensis","2012-2022","breeding",1.45,-12.7,9.37,13.9,2.62,23.5,"Coasts:  Beach and Estuary","Coasts:  Marine Waters"
"Alabama","scatan","Scarlet Tanager","Piranga olivacea","2012-2022","breeding",-12.4,-18.4,-5.52,-10.9,-14.6,-7.21,"Forests:  Temperate Eastern",NA
"Alabama","sctfly","Scissor-tailed Flycatcher","Tyrannus forficatus","2012-2022","breeding",-37,-54.2,-17.4,-28.8,-31.4,-27,"Grasslands:  Temperate",NA
"Alabama","seaspa","Seaside Sparrow","Ammospiza maritima","2012-2022","breeding",-29,-59,-6.35,-24.7,-32,-15.5,"Coasts:  Saltmarsh",NA
"Alabama","shbdow","Short-billed Dowitcher","Limnodromus griseus","2012-2022","nonbreeding",-18.4,-27.4,-7.69,-20.5,-24.1,-14.5,"Wetlands:  Boreal",NA
"Alabama","shshaw","Sharp-shinned Hawk","Accipiter striatus","2012-2022","breeding",-37,-41.4,-33.5,-41.2,-46.4,-29.3,"Forests:  Temperate Generalist",NA
"Alabama","snoegr","Snowy Egret","Egretta thula","2012-2022","breeding",-30.7,-35.3,-25.8,-15.6,-19.6,-13.8,"Wetlands:  Generalist","Coasts:  Saltmarsh"
"Alabama","snogoo","Snow Goose","Anser caerulescens","2012-2022","nonbreeding",-11,-26.9,-0.761,33.4,24.1,54.7,"Wetlands:  Tundra","Tundra:  Arctic"
"Alabama","snoplo5","Snowy Plover","Anarhynchus nivosus","2012-2022","breeding",-9.72,-16,-2.76,-10.8,-20.1,0.435,"Coasts:  Beach and Estuary","Wetlands:  Lakes and Rivers"
"Alabama","sonspa","Song Sparrow","Melospiza melodia","2012-2022","breeding",-11.9,-16.7,-7.53,-2.41,-4.24,-0.633,"Open Country:  Habitat Mosaic",NA
"Alabama","sposan","Spotted Sandpiper","Actitis macularius","2012-2022","breeding",-37.4,-53.8,-12.1,5.63,-4.21,12.4,"Wetlands:  Generalist",NA
"Alabama","sumtan","Summer Tanager","Piranga rubra","2012-2022","breeding",19.8,12,33.5,22.6,17.5,26.3,"Forests:  Temperate Eastern",NA
"Alabama","sursco","Surf Scoter","Melanitta perspicillata","2012-2022","nonbreeding",-17.1,-25.5,-2.7,-19.6,-25.9,-13.6,"Wetlands:  Boreal",NA
"Alabama","swawar","Swainson's Warbler","Limnothlypis swainsonii","2012-2022","breeding",48.9,34,59.6,35.2,28.7,50.1,"Forests:  Temperate Eastern",NA
"Alabama","swtkit","Swallow-tailed Kite","Elanoides forficatus","2012-2022","breeding",9.43,3.73,29.8,21.6,16.9,27.3,"Forests:  Temperate Eastern","Forests:  Tropical Montane Evergreen"
"Alabama","treswa","Tree Swallow","Tachycineta bicolor","2012-2022","breeding",-23.2,-26.2,-20.9,-13.4,-16.5,-9.79,"Wetlands Aerial:  Generalist",NA
"Alabama","triher","Tricolored Heron","Egretta tricolor","2012-2022","breeding",-11.2,-19.4,-4.93,-7.16,-10.3,-3.8,"Wetlands:  Generalist","Coasts:  Saltmarsh"
"Alabama","tuftit","Tufted Titmouse","Baeolophus bicolor","2012-2022","year_round",0.0052,-5.18,2.8,1.17,-1,3.3,"Forests:  Temperate Eastern",NA
"Alabama","tunswa","Tundra Swan","Cygnus columbianus","2012-2022","nonbreeding",-40,-50,-22.8,-27.3,-32.5,-21,"Wetlands:  Tundra",NA
"Alabama","turvul","Turkey Vulture","Cathartes aura","2012-2022","breeding",-3.44,-10.1,3.38,11.5,8.12,15.1,"Open Country:  Habitat Mosaic",NA
"Alabama","wessan","Western Sandpiper","Calidris mauri","2012-2022","nonbreeding",-23.1,-31.1,-17.4,-3.6,-8.91,5.48,"Wetlands:  Tundra",NA
"Alabama","whbnut","White-breasted Nuthatch","Sitta carolinensis","2012-2022","year_round",19.4,13.3,26,13.2,10.4,16.1,"Forests:  Temperate Eastern","Forests:  Temperate Western"
"Alabama","whevir","White-eyed Vireo","Vireo griseus","2012-2022","breeding",15.8,11,23.7,20.6,18.4,23.3,"Forests:  Temperate Eastern","Forests:  Tropical Dry"
"Alabama","whiibi","White Ibis","Eudocimus albus","2012-2022","breeding",9.04,-1.68,19.1,2.53,-0.435,5.97,"Wetlands:  Generalist","Coasts:  Mangroves"
"Alabama","whwdov","White-winged Dove","Zenaida asiatica","2012-2022","breeding",-11,-22.3,1.9,7.52,4.48,12,"Aridlands:  Desert Scrub","Forests:  Tropical Dry"
"Alabama","whwsco2","White-winged Scoter","Melanitta deglandi","2012-2022","nonbreeding",-26.8,-36,-19.4,-17.9,-37,7.08,"Wetlands:  Lakes and Rivers",NA
"Alabama","willet1","Willet","Tringa semipalmata","2012-2022","breeding",-33.5,-38.6,-27.3,-3.68,-6.32,-0.302,"Wetlands:  Seasonally Wet Grasslands","Coasts:  Saltmarsh"
"Alabama","wilplo","Wilson's Plover","Anarhynchus wilsonia","2012-2022","breeding",-25.1,-44,-8.04,-4.63,-11.4,2.59,"Coasts:  Beach and Estuary",NA
"Alabama","wiltur","Wild Turkey","Meleagris gallopavo","2012-2022","year_round",-25.5,-33.7,-4.88,-2.47,-6.02,6.52,"Forests:  Temperate Generalist",NA
"Alabama","woewar1","Worm-eating Warbler","Helmitheros vermivorum","2012-2022","breeding",-10.3,-17.9,-3.42,-19.2,-21.7,-16.8,"Forests:  Temperate Eastern",NA
"Alabama","wooduc","Wood Duck","Aix sponsa","2012-2022","breeding",-9.74,-20.2,0.866,5.11,0.495,9.26,"Wetlands:  Forested","Forests:  Temperate Eastern"
"Alabama","woosto","Wood Stork","Mycteria americana","2012-2022","breeding",-31.2,-38.9,-23.4,-11.7,-17.1,-6.22,"Wetlands:  Forested","Wetlands:  Freshwater Marsh"
"Alabama","woothr","Wood Thrush","Hylocichla mustelina","2012-2022","breeding",21.1,14.2,28.9,12.4,8.09,15.3,"Forests:  Temperate Eastern",NA
"Alabama","y00475","American Coot","Fulica americana","2012-2022","breeding",-46.1,-54.7,-41,-37.2,-39.4,-33.8,"Wetlands:  Freshwater Marsh",NA
"Alabama","ycnher","Yellow-crowned Night Heron","Nyctanassa violacea","2012-2022","breeding",-13.9,-23.8,4.07,-6.2,-10.1,-2.64,"Wetlands:  Generalist","Coasts:  Mangroves"
"Alabama","yebcha","Yellow-breasted Chat","Icteria virens","2012-2022","breeding",-15.4,-20,-5.52,8.32,4.83,12.6,"Forests:  Temperate Eastern","Forests:  Temperate Western"
"Alabama","yebcuc","Yellow-billed Cuckoo","Coccyzus americanus","2012-2022","breeding",6.47,1.63,17.8,19.3,14.7,25.9,"Forests:  Temperate Eastern",NA
"Alabama","yelwar","Yellow Warbler","Setophaga petechia","2012-2022","breeding",-10.4,-15.1,1.53,0.782,-1.45,2.83,"Forests:  Temperate Generalist","Wetlands:  Generalist"
"Alabama","yetvir","Yellow-throated Vireo","Vireo flavifrons","2012-2022","breeding",14.4,11,24.8,19.9,15.4,28.2,"Forests:  Temperate Eastern",NA
"Alabama","yetwar","Yellow-throated Warbler","Setophaga dominica","2012-2022","breeding",26.8,15.4,37.8,18.2,12.8,22.7,"Forests:  Temperate Eastern",NA
